<Header name=env>	06A	06A	06A	06A	06A
<Use>	data	data	data	data	data
<Format>	num	num	num	num	num
<Trait>	PlantHeight	EarHeight	EarLength	EarRowNumber	20KernelWeight
33-16	NaN	NaN	99.0	NaN	NaN
38-11	135.0	60.0	120.0	12.0	NaN
4226	130.0	65.0	126.0	NaN	NaN
4722	140.0	75.0	174.0	12.0	3.5
A188	120.0	35.0	132.0	12.0	6.2
A214N	190.0	110.0	149.0	12.0	3.3
A239	90.0	15.0	114.0	12.0	NaN
A272	135.0	30.0	114.0	12.0	4.4
A441-5	80.0	30.0	69.0	NaN	NaN
A554	95.0	20.0	NaN	NaN	NaN
A556	60.0	NaN	NaN	NaN	NaN
A6	162.5	97.5	NaN	NaN	NaN
A619	100.0	NaN	NaN	NaN	NaN
A632	125.0	55.0	118.0	12.0	4.9
A634	100.0	30.0	81.0	NaN	4.0
A635	110.0	45.0	NaN	14.0	5.65
A641	100.0	40.0	127.0	15.0	5.1
A654	100.0	25.0	NaN	NaN	NaN
A659	100.0	15.0	83.0	NaN	4.0
A661	125.0	50.0	123.0	12.0	5.4
A679	105.0	40.0	138.0	NaN	4.6
A680	145.0	70.0	137.0	18.0	4.0
A682	110.0	20.0	125.0	10.0	4.2
Ab28A	140.0	45.0	NaN	NaN	NaN
B10	145.0	70.0	NaN	NaN	NaN
B103	85.0	30.0	NaN	NaN	NaN
B104	120.0	35.0	129.0	13.0	4.9
B105	140.0	55.0	138.5	17.0	3.15
B109	150.0	70.0	142.0	16.0	4.6
B115	130.0	60.0	164.0	NaN	NaN
B14A	125.0	55.0	158.0	14.0	4.3
B164	145.0	50.0	158.0	16.0	5.25
B2	165.0	80.0	166.0	16.0	6.35
B37	140.0	60.0	156.0	14.0	6.7
B46	145.0	35.0	151.5	16.0	4.8
B52	120.0	45.0	119.0	NaN	2.7
B57	115.0	40.0	151.5	15.0	7.15
B64	120.0	45.0	153.0	13.0	4.95
B68	140.0	70.0	NaN	NaN	NaN
B73	152.6666667	64.0	NaN	NaN	4.69
B73_Mo17	NaN	NaN	NaN	NaN	NaN
B73Htrhm	135.0	60.0	96.0	NaN	3.4
B75	120.0	40.0	NaN	NaN	4.0
B76	135.0	50.0	162.0	14.0	6.6
B77	140.0	50.0	85.5	13.0	6.3
B79	145.0	70.0	153.0	17.0	5.5
B84	115.0	45.0	59.0	NaN	NaN
B97	165.0	85.0	137.5	13.0	NaN
C103	NaN	NaN	NaN	NaN	NaN
C123	NaN	NaN	NaN	NaN	NaN
C49A	95.0	25.0	NaN	NaN	NaN
CH701-30	115.0	40.0	149.0	12.0	4.2
CH9	85.0	15.0	92.0	14.0	6.6
CI.7	160.0	65.0	NaN	NaN	NaN
CI187-2	105.0	55.0	NaN	NaN	NaN
CI21E	165.0	55.0	166.0	14.0	7.35
CI28A	120.0	55.0	127.0	12.0	3.8
CI31A	135.0	75.0	130.0	NaN	NaN
CI3A	NaN	NaN	NaN	NaN	NaN
CI64	165.0	100.0	157.0	18.0	4.85
CI66	105.0	NaN	NaN	NaN	NaN
CI90C	117.5	57.5	NaN	NaN	NaN
CI91B	105.0	45.0	118.5	NaN	3.1
CM105	100.0	25.0	164.0	NaN	4.1
CM174	80.0	20.0	NaN	NaN	NaN
CM37	NaN	NaN	NaN	NaN	NaN
CM7	85.0	15.0	101.0	14.0	3.6
CML10	NaN	NaN	NaN	NaN	NaN
CML103	175.0	110.0	157.0	13.0	4.0
CML108	125.0	55.0	126.0	18.0	2.1
CML11	210.0	135.0	170.0	10.0	NaN
CML14	165.0	90.0	NaN	NaN	NaN
CML154Q	120.0	60.0	162.0	NaN	NaN
CML157Q	195.0	125.0	138.0	16.0	3.2
CML158Q	NaN	NaN	NaN	NaN	NaN
CML218	140.0	60.0	NaN	NaN	NaN
CML220	95.0	35.0	144.0	NaN	NaN
CML228	155.0	100.0	NaN	NaN	NaN
CML238	160.0	75.0	NaN	NaN	NaN
CML247	170.0	85.0	NaN	NaN	NaN
CML254	NaN	NaN	NaN	NaN	NaN
CML258	NaN	NaN	NaN	NaN	NaN
CML261	170.0	NaN	NaN	NaN	NaN
CML264	NaN	NaN	NaN	NaN	NaN
CML277	NaN	NaN	NaN	NaN	NaN
CML281	NaN	NaN	NaN	NaN	NaN
CML287	NaN	NaN	NaN	NaN	NaN
CML311	175.0	80.0	146.0	18.0	NaN
CML314	230.0	125.0	NaN	NaN	NaN
CML321	165.0	75.0	NaN	NaN	NaN
CML322	130.0	75.0	124.0	12.0	1.7
CML323	120.0	60.0	153.0	12.0	2.8
CML328	150.0	105.0	NaN	NaN	NaN
CML331	NaN	NaN	NaN	NaN	NaN
CML332	165.0	95.0	NaN	NaN	NaN
CML333	175.0	110.0	NaN	NaN	NaN
CML341	195.0	120.0	135.0	14.0	NaN
CML38	165.0	95.0	160.0	16.0	1.9
CML45	NaN	NaN	NaN	NaN	NaN
CML5	NaN	NaN	NaN	NaN	NaN
CML52	200.0	130.0	NaN	NaN	NaN
CML61	NaN	NaN	NaN	NaN	NaN
CML69	155.0	NaN	NaN	NaN	NaN
CML77	135.0	60.0	124.0	14.0	2.9
CML91	175.0	75.0	NaN	NaN	NaN
CML92	135.0	NaN	NaN	NaN	NaN
CMV3	105.0	30.0	NaN	NaN	NaN
CO106	105.0	50.0	NaN	NaN	NaN
CO125	80.0	10.0	65.0	12.0	NaN
CO255	115.0	30.0	NaN	NaN	NaN
D940Y	155.0	70.0	NaN	NaN	NaN
DE_2	NaN	35.0	163.0	14.0	6.3
DE_3	125.0	60.0	114.0	16.0	2.6
DE1	130.0	55.0	180.5	14.0	5.6
DE811	170.0	80.0	167.0	16.0	6.1
E2558W	110.0	55.0	NaN	NaN	NaN
EP1	90.0	20.0	139.0	14.0	4.2
F2834T	100.0	35.0	133.0	12.0	4.3
F44	185.0	110.0	111.0	NaN	NaN
F6	175.0	100.0	129.0	12.0	3.05
F7	85.0	45.0	126.0	10.0	3.7
GA209	160.0	85.0	NaN	NaN	NaN
GT112	NaN	NaN	NaN	NaN	NaN
H105W	135.0	60.0	189.0	16.0	NaN
H49	155.0	60.0	169.0	18.0	5.2
H84	NaN	NaN	NaN	NaN	NaN
H91	145.0	60.0	164.0	14.0	3.8
H95	120.0	45.0	149.5	14.0	4.6
H99	NaN	NaN	NaN	NaN	NaN
Hi27	165.0	100.0	NaN	NaN	NaN
HP301	100.0	35.0	NaN	NaN	NaN
Hy	95.0	45.0	NaN	NaN	NaN
I137TN	NaN	NaN	NaN	NaN	NaN
I205	120.0	50.0	91.0	10.0	5.1
I29	115.0	55.0	123.6666667	18.0	2.533333333
IA2132	105.0	40.0	119.0	12.0	5.7
Ia5125	85.0	25.0	NaN	NaN	NaN
IDS28	135.0	70.0	NaN	NaN	2.3
IDS69	70.0	40.0	NaN	NaN	NaN
IDS91	75.0	35.0	132.0	14.0	NaN
Il101	110.0	15.0	NaN	NaN	NaN
Il14H	145.0	45.0	120.0	10.0	8.6
Il677a	NaN	NaN	NaN	NaN	NaN
K148	120.0	25.0	NaN	NaN	NaN
K4	140.0	60.0	NaN	NaN	NaN
K55	110.0	35.0	NaN	NaN	NaN
K64	170.0	80.0	173.0	14.0	6.0
Ki11	155.0	90.0	143.0	12.0	3.2
Ki14	NaN	NaN	NaN	NaN	NaN
Ki2021	NaN	NaN	NaN	NaN	NaN
Ki21	130.0	65.0	NaN	NaN	NaN
Ki3	135.0	60.0	132.0	14.0	2.7
Ki43	115.0	42.5	NaN	NaN	NaN
Ki44	125.0	60.0	NaN	NaN	NaN
Ky21	150.0	80.0	162.0	12.0	6.4
